Open,Close,High,Low,Volume,Date
43.55,43.22,43.84,43,,07/28/20
43.35,43.41,43.77,42.39,,07/27/20
43.27,43.34,43.9,42.79,,07/24/20
44.1,43.31,44.77,43.13,,07/23/20
44.03,44.29,44.4,43.62,,07/22/20
43.17,44.32,44.89,43.16,,07/21/20
43.08,43.28,43.45,42.36,,07/20/20
43.4,43.14,43.45,42.64,,07/17/20
43.71,43.37,43.8,43.14,,07/16/20
43.07,43.79,43.85,42.7,,07/15/20
42.24,42.9,43.22,41.8,,07/14/20
43.12,42.72,43.34,42.14,,07/13/20
42.36,43.24,43.42,41.32,,07/10/20
43.3,42.35,43.5,41.94,,07/09/20
42.81,43.29,43.47,42.75,,07/08/20
43.13,43.08,43.45,42.46,,07/07/20
42.79,43.1,43.71,42.74,,07/06/20
42.76,42.8,42.99,42.32,,07/03/20
41.84,43.14,43.23,41.73,,07/02/20
41.58,42.03,42.62,41.03,,07/01/20
41.33,41.15,41.62,40.9,,06/30/20
40.56,41.71,41.95,40.04,,06/29/20
41.44,41.02,41.81,40.29,,06/26/20
40.35,41.05,41.64,39.47,,06/25/20
42.45,40.31,42.89,39.63,,06/24/20
43.21,42.63,43.93,42.21,,06/23/20
41.74,43.08,43.18,41.58,,06/22/20
41.72,42.19,42.92,41.03,,06/19/20
40.43,41.51,41.64,40.06,,06/18/20
40.61,40.71,41.46,40.03,,06/17/20
39.94,40.96,41.65,38.95,,06/16/20
38.8,39.72,39.9,37.24,,06/15/20
37.88,38.73,39.45,37.01,,06/12/20
40.95,38.55,41.01,37.82,,06/11/20
40.72,41.73,41.99,40.14,,06/10/20
41.1,41.18,41.45,39.85,,06/09/20
42.4,40.8,43.41,40.68,,06/08/20
39.84,42.3,42.48,39.72,,06/05/20
39.6,39.99,40.1,39.04,,06/04/20
39.75,39.79,40.53,38.76,,06/03/20
38.34,39.57,39.75,38.26,,06/02/20
37.56,38.32,38.68,37.18,,06/01/20
35.15,37.84,35.37,34.06,,05/29/20
33.92,35.29,35.95,33.62,,05/28/20
35.93,34.74,36.16,33.98,,05/27/20
35.66,36.17,36.68,35.26,,05/26/20
34.98,35.53,35.97,34.46,,05/25/20
36.18,35.13,36.23,33.54,,05/22/20
35.82,36.06,36.98,35.75,,05/21/20
34.45,35.75,36.46,34.38,,05/20/20
35.66,34.65,35.76,34.2,,05/19/20
32.78,34.81,35.72,32.69,,05/18/20
31.52,32.5,32.91,30.94,,05/15/20
29.52,31.13,31.55,28.88,,05/14/20
29.35,29.19,30.55,28.86,,05/13/20
30.07,29.98,30.7,29.35,,05/12/20
30.7,29.63,31.47,29.35,,05/11/20
29.6,30.97,31.14,29.43,,05/08/20
29.64,29.46,31.84,29.08,,05/07/20
32.27,29.72,32.27,28.66,,05/06/20
28.1,30.97,32.06,27.77,,05/05/20
26.1,27.2,28.08,25.5,,05/04/20
26.95,26.44,27.88,25.76,,05/01/20
22.87,25.27,25.76,22.87,,04/30/20
20.66,22.54,23.88,20.53,,04/29/20
19.9,20.46,21.29,18.73,,04/28/20
21.55,19.99,21.91,19.11,,04/27/20
21.93,21.44,22.7,20.5,,04/24/20
20.89,21.33,23.22,20.07,,04/23/20
20.23,20.37,22.45,15.98,,04/22/20
26.33,19.33,26.5,17.51,,04/21/20
28.05,25.57,28.25,25.37,,04/20/20
28.66,28.08,28.93,27.58,,04/17/20
28.05,27.82,29,27.2,,04/16/20
30.26,27.69,30.33,27.16,,04/15/20
32.25,29.6,32.32,29.38,,04/14/20
33.99,31.74,33.99,30.63,,04/13/20
33.82,31.48,36.4,31.18,,04/09/20
32.63,32.84,33.87,31.54,,04/08/20
33.66,31.87,34.18,31.74,,04/07/20
31.76,33.05,34.24,30.03,,04/06/20
29.89,34.11,35,28.25,,04/03/20
25.61,29.94,36.29,25.45,,04/02/20
25.99,24.74,26.28,24.52,,04/01/20
23,22.74,23.87,22.59,,03/31/20
23.85,22.76,24.44,21.65,,03/30/20
26.68,24.93,27,24.13,,03/27/20
27.35,26.34,27.75,26.03,,03/26/20
27.8,27.39,28.29,25.68,,03/25/20
27.72,27.15,28.65,26.69,,03/24/20
26.75,27.03,27.54,24.68,,03/23/20
28.1,26.98,30.94,26.81,,03/20/20
27.19,28.47,29.42,24.96,,03/19/20
28.4,24.88,29.21,24.52,,03/18/20
30.14,28.73,31.25,28.5,,03/17/20
35.82,30.05,35.84,29.45,,03/16/20
32.85,33.85,36.15,32.5,,03/13/20
35.99,33.22,36.46,32.5,,03/12/20
37.27,35.79,39.7,35.35,,03/11/20
35.84,37.22,38.22,35,,03/10/20
38.28,34.36,38.34,31.02,,03/09/20
50.25,45.27,50.45,45.18,,03/06/20
51.66,49.99,52.04,49.7,,03/05/20
52.11,51.13,53.03,51.04,,03/04/20
53.47,51.86,53.9,51.22,,03/03/20
48.95,51.9,53.2,48.4,,03/02/20
51.42,49.67,51.52,50.05,,02/28/20
53.18,52.18,53.25,50.97,,02/27/20
55.13,53.43,55.45,53.03,,02/26/20
56.46,54.95,56.98,54.62,,02/25/20
57.85,56.3,57.86,55.13,,02/24/20
59,58.5,59.25,57.73,,02/21/20
59.31,59.31,60,58.9,,02/20/20
57.6,59.12,59.4,57.51,,02/19/20
57.35,57.75,57.83,56.3,,02/18/20
57.29,57.67,57.7,56.83,,02/17/20
56.41,57.32,57.53,56.15,,02/14/20
55.75,56.34,56.83,54.96,,02/13/20
54.41,55.79,56.36,54.39,,02/12/20
53.62,54.01,54.69,53.6,,02/11/20
54.2,53.27,54.71,53.11,,02/10/20
55.14,54.47,55.4,54.21,,02/07/20
55.56,54.93,56.58,54.25,,02/06/20
54.05,55.28,56.46,54.05,,02/05/20
54.33,53.96,55.65,53.69,,02/04/20
56.16,54.45,56.77,54.08,,02/03/20
59.3,58.16,56.62,55.42,,01/31/20
59.6,58.29,59.65,57.71,,01/30/20
59.86,59.81,60.62,59.26,,01/29/20
59.03,59.51,60.12,58.5,,01/28/20
60.23,59.32,60.49,58.5,,01/27/20
62.01,60.69,62.46,60.25,,01/24/20
62.68,62.04,62.69,61.25,,01/23/20
64.57,63.21,64.58,62.62,,01/22/20
65.26,64.59,65.35,64.06,,01/21/20
65.98,65.2,66,64.92,,01/20/20
64.69,64.85,65.6,64.48,,01/17/20
64.26,64.62,64.97,63.9,,01/16/20
64.44,64,64.6,63.55,,01/15/20
64.29,64.49,65.05,63.92,,01/14/20
65.13,64.2,65.27,63.92,,01/13/20
65.29,64.98,65.66,64.86,,01/10/20
66,65.37,66.1,64.56,,01/09/20
71.22,65.44,71.75,64.94,,01/08/20
68.63,68.27,68.75,67.65,,01/07/20
69.35,68.91,70.74,68.21,,01/06/20
66.28,68.6,69.5,66.22,,01/03/20
66.41,66.25,66.58,65.72,,01/02/20
66.65,66,66.93,65.63,,12/31/19
68.2,68.44,68.99,68.16,,12/30/19
67.91,68.16,68.33,67.57,,12/27/19
67.27,67.92,67.99,67.22,,12/26/19
66.44,67.2,67.26,66.36,,12/24/19
66.15,66.39,66.62,65.81,,12/23/19
66.56,66.14,66.72,65.7,,12/20/19
66.19,66.54,66.78,66.03,,12/19/19
65.84,66.17,66.43,65.56,,12/18/19
